ORD-000001,2026/01/02,CUST-1001,Yoga Mat Premium,2,56.51,US
ORD-000002,2026/01/03,CUST-1002,Organic Cotton T-Shirt,1,46.92,DE
ORD-000003,2026/01/04,CUST-1003,LED Desk Lamp,1,21.59,UK
ORD-000004,2026/01/05,CUST-1004,Standing Desk Converter,1,42.81,UK
ORD-000005,2026/01/06,CUST-1005,Air Purifier Small,1,104.74,CN
ORD-000006,2026/01/07,CUST-1006,Running Shoes Elite,2,60.5,US
ORD-000007,2026/01/08,CUST-1007,Wireless Charger Pad,1,73.41,FR
ORD-000008,2026/01/09,CUST-1008,Organic Cotton T-Shirt,2,89.68,CA
ORD-000009,2026/01/10,CUST-1009,External SSD 1TB,1,51.1,FR
ORD-000010,2026/01/11,CUST-1010,Air Purifier Small,3,44.56,JP
ORD-000011,2026/01/12,CUST-1011,External SSD 1TB,2,145.68,JP
ORD-000012,2026/01/13,CUST-1012,LED Desk Lamp,3,86.24,DE
ORD-000013,2026/01/14,CUST-1013,Ergonomic Office Chair,1,28.01,IN
ORD-000014,2026/01/15,CUST-1014,Running Shoes Elite,2,80.25,DE
ORD-000015,2026/01/16,CUST-1015,Air Purifier Small,3,98.57,CN
ORD-000016,2026/01/17,CUST-1016,4K Webcam Pro,1,48.66,UK
ORD-000017,2026/01/18,CUST-1017,Leather Wallet Classic,2,137.76,AU
ORD-000018,2026/01/19,CUST-1018,Wireless Mouse Silent,3,117.31,JP
ORD-000019,2026/01/20,CUST-1019,Smart Watch Series 5,1,33.04,CA
ORD-000020,2026/01/21,CUST-1020,Yoga Mat Premium,1,65.03,FR
ORD-000021,2026/01/22,CUST-1021,Wireless Mouse Silent,2,138.33,US
ORD-000022,2026/01/23,CUST-1022,Wireless Headphones Pro,3,69.14,JP
ORD-000023,2026/01/24,CUST-1023,Mechanical Keyboard RGB,2,132.95,JP
ORD-000024,2026/01/25,CUST-1024,Leather Wallet Classic,1,81.69,CN
ORD-000025,2026/01/26,CUST-1025,Wireless Charger Pad,1,148.84,UK
ORD-000026,2026/01/27,CUST-1026,Wireless Mouse Silent,3,72.54,CA
ORD-000027,2026/01/28,CUST-1027,4K Webcam Pro,3,58.84,AU
ORD-000028,2026/01/29,CUST-1028,4K Webcam Pro,2,41.65,JP
ORD-000029,2026/01/30,CUST-1029,LED Desk Lamp,3,116.64,BR
ORD-000030,2026/01/31,CUST-1030,Portable Power Bank,2,57.31,JP
ORD-000031,2026/02/01,CUST-1031,Stainless Steel Water Bottle,3,110.75,CA
ORD-000032,2026/02/02,CUST-1032,Bluetooth Speaker Mini,3,62.97,CA
ORD-000033,2026/02/03,CUST-1033,Organic Cotton T-Shirt,2,55.38,UK
ORD-000034,2026/02/04,CUST-1034,Smart Watch Series 5,2,38.89,JP
ORD-000035,2026/02/05,CUST-1035,Mechanical Keyboard RGB,3,91.53,US
ORD-000036,2026/02/06,CUST-1036,LED Desk Lamp,2,139.52,FR
ORD-000037,2026/02/07,CUST-1037,Bluetooth Speaker Mini,1,102.15,AU
ORD-000038,2026/02/08,CUST-1038,Wireless Headphones Pro,3,21.98,FR
