ORD-000001,2026/01/02,CUST-1001,Noise Cancelling Earbuds,2,59.97,US
ORD-000002,2026/01/03,CUST-1002,Noise Cancelling Earbuds,2,0.0,US
ORD-000003,2026/01/04,CUST-1003,Ergonomic Office Chair,2,48.14,US
ORD-000004,2026/01/05,CUST-1004,Mechanical Keyboard RGB,2,47.84,US
ORD-000005,2026/01/06,CUST-1005,Wireless Headphones Pro,1,38.45,US
ORD-000006,2026/01/07,CUST-1006,Running Shoes Elite,1,89.22,US
ORD-000007,2026/01/08,CUST-1007,External SSD 1TB,2,67.36,US
ORD-000008,2026/01/09,CUST-1008,Running Shoes Elite,1,58.97,US
ORD-000009,2026/01/10,CUST-1009,Monitor Arm Dual,1,55.32,US
ORD-000010,2026/01/11,CUST-1010,LED Desk Lamp,1,41.25,US
ORD-000011,2026/01/12,CUST-1011,Yoga Mat Premium,1,0.0,US
ORD-000012,2026/01/13,CUST-1012,Wireless Mouse Silent,1,31.76,US
ORD-000013,2026/01/14,CUST-1013,Leather Wallet Classic,2,62.93,US
ORD-000014,2026/01/15,CUST-1014,Smart Watch Series 5,2,49.92,US
ORD-000015,2026/01/16,CUST-1015,Mechanical Keyboard RGB,2,62.36,US
ORD-000016,2026/01/17,CUST-1016,Wireless Charger Pad,2,58.66,US
ORD-000017,2026/01/18,CUST-1017,Yoga Mat Premium,1,54.16,US
ORD-000018,2026/01/19,CUST-1018,Leather Wallet Classic,1,42.78,US
ORD-000019,2026/01/20,CUST-1019,Portable Power Bank,2,44.57,US
ORD-000020,2026/01/21,CUST-1020,Ergonomic Office Chair,1,0.0,US
ORD-000021,2026/01/22,CUST-1021,LED Desk Lamp,1,65.21,US
ORD-000022,2026/01/23,CUST-1022,Bluetooth Speaker Mini,2,34.81,US
ORD-000023,2026/01/24,CUST-1023,Leather Wallet Classic,1,71.35,US
ORD-000024,2026/01/25,CUST-1024,LED Desk Lamp,2,55.8,US
ORD-000025,2026/01/26,CUST-1025,Ergonomic Office Chair,2,0.0,US
ORD-000026,2026/01/27,CUST-1026,Noise Cancelling Earbuds,2,91.1,US
ORD-000027,2026/01/28,CUST-1027,Running Shoes Elite,2,81.07,US
ORD-000028,2026/01/29,CUST-1028,Organic Cotton T-Shirt,2,96.11,US
ORD-000029,2026/01/30,CUST-1029,LED Desk Lamp,1,48.23,US
ORD-000030,2026/01/31,CUST-1030,LED Desk Lamp,2,0.0,US
ORD-000031,2026/02/01,CUST-1031,Running Shoes Elite,2,91.6,US
ORD-000032,2026/02/02,CUST-1032,Organic Cotton T-Shirt,2,45.75,US
ORD-000033,2026/02/03,CUST-1033,Ergonomic Office Chair,1,60.61,US
ORD-000034,2026/02/04,CUST-1034,External SSD 1TB,2,83.3,US
ORD-000035,2026/02/05,CUST-1035,4K Webcam Pro,2,96.51,US
ORD-000036,2026/02/06,CUST-1036,Monitor Arm Dual,1,0.0,US
ORD-000037,2026/02/07,CUST-1037,Running Shoes Elite,1,83.05,US
ORD-000038,2026/02/08,CUST-1038,Standing Desk Converter,1,97.77,US
ORD-000039,2026/02/09,CUST-1039,Monitor Arm Dual,2,0.0,US
ORD-000040,2026/02/10,CUST-1040,Stainless Steel Water Bottle,1,75.67,US
ORD-000041,2026/02/11,CUST-1041,4K Webcam Pro,2,62.78,US
ORD-000042,2026/02/12,CUST-1042,Monitor Arm Dual,2,82.93,US
ORD-000043,2026/02/13,CUST-1043,Mechanical Keyboard RGB,1,40.15,US
ORD-000044,2026/02/14,CUST-1044,Wireless Charger Pad,2,90.72,US
ORD-000045,2026/02/15,CUST-1045,Smart Watch Series 5,2,76.86,US
ORD-000046,2026/02/16,CUST-1046,Bluetooth Speaker Mini,1,43.41,US
ORD-000047,2026/02/17,CUST-1047,Ergonomic Office Chair,1,0.0,US
ORD-000048,2026/02/18,CUST-1048,External SSD 1TB,2,70.99,US
ORD-000049,2026/02/19,CUST-1049,Wireless Headphones Pro,2,0.0,US
ORD-000050,2026/02/20,CUST-1050,Smart Watch Series 5,2,0.0,US
ORD-000051,2026/02/21,CUST-1051,LED Desk Lamp,2,73.72,US
ORD-000052,2026/02/22,CUST-1052,Stainless Steel Water Bottle,2,34.4,US
ORD-000053,2026/02/23,CUST-1053,Stainless Steel Water Bottle,1,91.46,US
ORD-000054,2026/02/24,CUST-1054,Standing Desk Converter,1,66.5,US
